External_Id__c,Status,Parent_Type__c,Type,Description,City__c,Department__c,Division__c,CreatedDate,ClosedDate,Subject,Actual_Parent_Type__c,Actual_Type__c
640570,In Progress,,,RESIDENT HAS BUILT A SALON ONTO THE BACK OF THE HOME AND HAS CLIENTS COMING TO THE SALON IN VIOLATION OF RESIDENTIAL ZONING.,BATON ROUGE,DEVELOPMENT,PERMITS & INSPECTIONS,2020-08-02T17:23:00Z,,RESIDENT HAS BUILT A SALON ONTO THE BACK OF THE HOME AND HAS CLIENTS COMING TO THE SALON IN VIOLATION OF RESIDENTIAL ZONING.,BUILDING CODE/ZONING VIOLATIONS,ZONING CODE VIOLATION
640556,In Progress,,,"HI, THE LID OF OUR GARBAGE CART WENT ACCIDENTALLY WITH THE GARBAGE TRUCK. WOULD YOU PLEASE REPLACE THE LID OR THE CART?  GATE CODE: #0911 PHONE: XXX-XXX-XXXX THANK YOU MANAS",BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,2020-08-02T10:59:00Z,,"HI, THE LID OF OUR GARBAGE CART WENT ACCIDENTALLY WITH THE GARBAGE TRUCK. WOULD YOU PLEASE REPLACE THE LID OR THE CART?  GATE CODE: #0911 PHONE: XXX-XXX-XXXX THANK YOU MANAS",GARBAGE,DAMAGED GARBAGE CART
640561,In Progress,,,DRAINS IN THE FRONT OF PROPERTY ARE COVERED AND NEEDS CLEANING,BAKER,MAINTENANCE,DRAINAGE MAINTENANCE,2020-08-02T11:41:00Z,,DRAINS IN THE FRONT OF PROPERTY ARE COVERED AND NEEDS CLEANING,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
622552,In Progress,,,VACANT LOT NEED TO BE CUT BEHIND THE ADDRESS ABOVE GAVE SERVICE #,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-12T09:08:00Z,,VACANT LOT NEED TO BE CUT BEHIND THE ADDRESS ABOVE GAVE SERVICE #,BLIGHTED PROPERTIES,TALL GRASS
622579,In Progress,,,CALLER IS REQUESTING THAT THE YARD BE CUT AT THE HOUSE SITTING NEXT DOOR TOP 3525 WAYNE DR....REFUSE ID#,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-12T09:42:00Z,,CALLER IS REQUESTING THAT THE YARD BE CUT AT THE HOUSE SITTING NEXT DOOR TOP 3525 WAYNE DR....REFUSE ID#,BLIGHTED PROPERTIES,TALL GRASS
622721,In Progress,,,MATTRESSES AND REFRIGERATOR NEED TO BE PICKED UP  THE LEFT OF THE ADDRESS ABOVE AND TREE LIMB ACROSS THE STREET FROM THE ADDRESS ABOVE  VACANT AREA GAVE SERVICE #,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-06-12T13:49:00Z,,MATTRESSES AND REFRIGERATOR NEED TO BE PICKED UP  THE LEFT OF THE ADDRESS ABOVE AND TREE LIMB ACROSS THE STREET FROM THE ADDRESS ABOVE  VACANT AREA GAVE SERVICE #,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
622722,In Progress,,,DITCH BEHIND THE HOME IS OVERGROWN AND NEEDS TO BE CUT.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-06-12T13:50:00Z,,DITCH BEHIND THE HOME IS OVERGROWN AND NEEDS TO BE CUT.,"DRAINAGE, EROSION, FLOODING OR HOLES",NON-ROADSIDE VEGETATION IN A DITCH
622771,In Progress,,,DRAIN IN FRONT OF THE HOME NEEDS TO BE CLEANED OUT.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-06-12T15:37:00Z,,DRAIN IN FRONT OF THE HOME NEEDS TO BE CLEANED OUT.,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
623007,In Progress,,,"CALLER IS REQUESTING THAT THE TWO V/L ACROSS FROM 1392 COLUMBUS DUNN DR. BE CUT....., GAVE ID#",BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-15T09:25:00Z,,"CALLER IS REQUESTING THAT THE TWO V/L ACROSS FROM 1392 COLUMBUS DUNN DR. BE CUT....., GAVE ID#",BLIGHTED PROPERTIES,TALL GRASS
623061,In Progress,,,GRASS NEED TO BE CUT VACANT LOT THE RIGHT OF THE 2164 MISSION DR,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-15T10:19:00Z,,GRASS NEED TO BE CUT VACANT LOT THE RIGHT OF THE 2164 MISSION DR,BLIGHTED PROPERTIES,TALL GRASS
623097,In Progress,,,"POOL IN THE BACKYARD IS DIRTY AND NEEDS TO BE CLEANED OUT (IT IS INFESTED W/ MOSQUITOES), THE YARD IS FULL OF POISON IVY THAT NEEDS TO BE CUT DOWN AND THE HOME NEEDS TO BE BOARDED UP.",BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-15T10:46:00Z,,"POOL IN THE BACKYARD IS DIRTY AND NEEDS TO BE CLEANED OUT (IT IS INFESTED W/ MOSQUITOES), THE YARD IS FULL OF POISON IVY THAT NEEDS TO BE CUT DOWN AND THE HOME NEEDS TO BE BOARDED UP.",BLIGHTED PROPERTIES,DIRTY OR UNFENCED SWIMMING POOL
623112,In Progress,,,ABANDONED PROPERTY HAS JUNK AND DEBRIS ON THE CURB NEED TO BE REMOVED,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-06-15T11:05:00Z,,ABANDONED PROPERTY HAS JUNK AND DEBRIS ON THE CURB NEED TO BE REMOVED,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
623113,In Progress,,,THE LOT ON THE SIDE OF THE CORNER OF MICHELLI DR. NEEDS TO BE CUT AND TREE REMOVED. THE GRASS IS OVER GROWN.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-15T11:05:00Z,,THE LOT ON THE SIDE OF THE CORNER OF MICHELLI DR. NEEDS TO BE CUT AND TREE REMOVED. THE GRASS IS OVER GROWN.,BLIGHTED PROPERTIES,TALL GRASS
623230,In Progress,,,PEOPLE ARE DUMPING TRASH/DEBRIS AND HOUSEHOLD FURNITURE IN FRONT OF THE V/L AT THIS ADDRESS. IT NEEDS TO BE CLEANED UP. IT HAS BEEN OUT FOR 2 MONTHS.,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-06-15T13:20:00Z,,PEOPLE ARE DUMPING TRASH/DEBRIS AND HOUSEHOLD FURNITURE IN FRONT OF THE V/L AT THIS ADDRESS. IT NEEDS TO BE CLEANED UP. IT HAS BEEN OUT FOR 2 MONTHS.,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
623165,In Progress,,,VACANT LOT LOCATED TO THE RIGHT OF 5337 RITTERMAN AVE IS OVERGROWN GRASS NEED TO BE CUT,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-15T12:01:00Z,,VACANT LOT LOCATED TO THE RIGHT OF 5337 RITTERMAN AVE IS OVERGROWN GRASS NEED TO BE CUT,BLIGHTED PROPERTIES,TALL GRASS
623245,In Progress,,,TRASH AND DEBRIS PILED ON THE CITY ROW ON THE RIGHT OF 2528 SHERWOOD ST,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-06-15T13:37:00Z,,TRASH AND DEBRIS PILED ON THE CITY ROW ON THE RIGHT OF 2528 SHERWOOD ST,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
623269,In Progress,,,V/HOUSE MOWING  OLD SOFA ON THE PORCH,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-15T14:02:00Z,,V/HOUSE MOWING  OLD SOFA ON THE PORCH,BLIGHTED PROPERTIES,TALL GRASS
623303,In Progress,,,"CALLER IS REQUESTING THAT THE GRASS BE CUT IT IS VERY TALL....., GAVE ID#",BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-15T14:50:00Z,,"CALLER IS REQUESTING THAT THE GRASS BE CUT IT IS VERY TALL....., GAVE ID#",BLIGHTED PROPERTIES,TALL GRASS
607328,In Progress,,,AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO “BARRICADE PICK UP” .......SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-04-22T10:07:00Z,,AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO “BARRICADE PICK UP” .......SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,"DRAINAGE, EROSION, FLOODING OR HOLES",CAVE-IN/SINK HOLE (DRAINAGE RELATED)
635050,In Progress,,,"CALLER STATES THAT THE STORM DRAIN COVER IS CRACKED SITTING IN FRIBNT OF THE ABOVE ADDRESS..., GAVE ID#  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.",BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-07-16T14:47:00Z,,"CALLER STATES THAT THE STORM DRAIN COVER IS CRACKED SITTING IN FRIBNT OF THE ABOVE ADDRESS..., GAVE ID#  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.","DRAINAGE, EROSION, FLOODING OR HOLES",MISSING/DAMAGED STORMWATER DRAIN LID
607619,In Progress,,,BARRICADE FENCE NEEDED FOR SINKHOLES ON FRONT RIGHT SIDE OF HOME NEAR STREET BY TELEPHONE POLE. MARKED IN GREEN AND WHITE PAINT.   AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO “BARRICADE PICK UP” .......SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-04-22T17:01:00Z,,BARRICADE FENCE NEEDED FOR SINKHOLES ON FRONT RIGHT SIDE OF HOME NEAR STREET BY TELEPHONE POLE. MARKED IN GREEN AND WHITE PAINT.   AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO “BARRICADE PICK UP” .......SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,"DRAINAGE, EROSION, FLOODING OR HOLES",CAVE-IN/SINK HOLE (DRAINAGE RELATED)
608073,In Progress,,,VACANT LOTS (ABOUT 4 LOTS)  ACROSS FROM 2872 69TH AVE IS OVERGROWN,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-04-24T10:27:00Z,,VACANT LOTS (ABOUT 4 LOTS)  ACROSS FROM 2872 69TH AVE IS OVERGROWN,BLIGHTED PROPERTIES,TALL GRASS
608286,In Progress,,,BARRICADE NEEDED FOR SINKHOLE IN THE FRONT LEFT SIDE OF THE HOUSE (FACING THE HOME).  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-04-24T16:00:00Z,,BARRICADE NEEDED FOR SINKHOLE IN THE FRONT LEFT SIDE OF THE HOUSE (FACING THE HOME).  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,"DRAINAGE, EROSION, FLOODING OR HOLES",CAVE-IN/SINK HOLE (DRAINAGE RELATED)
608531,In Progress,,,DRAINAGE DITCH BEHIND PROPERTY THAT BACKS UP TO CANTERBURY APTS NEEDS TO BE CLEANED OUT. DITCH RUNS APPROX. 150 FEET. RUNS COMPLETELY ALONG THE FENCELINE. DITCH IS NOT DRAINING AS IT SHOULD.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-04-27T09:35:00Z,,DRAINAGE DITCH BEHIND PROPERTY THAT BACKS UP TO CANTERBURY APTS NEEDS TO BE CLEANED OUT. DITCH RUNS APPROX. 150 FEET. RUNS COMPLETELY ALONG THE FENCELINE. DITCH IS NOT DRAINING AS IT SHOULD.,"DRAINAGE, EROSION, FLOODING OR HOLES",NON-ROADSIDE DRAINAGE ISSUE
623449,In Progress,,,"THE TOWNHOME AT 3431 ONEAL IS OPERATING A HAIR SALON/BARBER BUSINESS.  THERE IS A SIGN OUT FRONT ADVERTISING THE NAME, PRICES, AND HOURS (PICTURE ATTACHED).  CUSTOMERS PARK UP AND DOWN THE SIDEWALK AND EVEN BLOCK THE ROADWAY.",EAST BATON ROUGE,DEVELOPMENT,PERMITS & INSPECTIONS,2020-06-16T08:10:00Z,,"THE TOWNHOME AT 3431 ONEAL IS OPERATING A HAIR SALON/BARBER BUSINESS.  THERE IS A SIGN OUT FRONT ADVERTISING THE NAME, PRICES, AND HOURS (PICTURE ATTACHED).  CUSTOMERS PARK UP AND DOWN THE SIDEWALK AND EVEN BLOCK THE ROADWAY.",BUILDING CODE/ZONING VIOLATIONS,ZONING CODE VIOLATION
623450,In Progress,,,DITCH IN FRONT OF HOME NEED TO BE DUG OUT TO ALLOW DRAINAGE,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-06-16T08:11:00Z,,DITCH IN FRONT OF HOME NEED TO BE DUG OUT TO ALLOW DRAINAGE,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
608898,In Progress,,,REQUESTING THE MOWING OF GRASS AT THIS ADDRES,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-04-27T18:29:00Z,,REQUESTING THE MOWING OF GRASS AT THIS ADDRES,BLIGHTED PROPERTIES,TALL GRASS
623498,In Progress,,,IN THE 2100 BLOCK OF LOUISIANA AVENUE VACANT LOT WITH TALL GRASS.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-16T09:14:00Z,,IN THE 2100 BLOCK OF LOUISIANA AVENUE VACANT LOT WITH TALL GRASS.,BLIGHTED PROPERTIES,TALL GRASS
608459,In Progress,,,HOMEOWNER HAS CHANGED THE USE OF A SWIMMING POOL TO A POND.,BATON ROUGE,DEVELOPMENT,PERMITS & INSPECTIONS,2020-04-27T07:59:00Z,,HOMEOWNER HAS CHANGED THE USE OF A SWIMMING POOL TO A POND.,BUILDING CODE/ZONING VIOLATIONS,BUILDING CODE VIOLATIONS
623557,In Progress,,,"CALLER IS REQUESTING THAT THE DITCH RUNNING BEHIND HER HOME BE CUT ....., GAVE ID#",BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-06-16T10:22:00Z,,"CALLER IS REQUESTING THAT THE DITCH RUNNING BEHIND HER HOME BE CUT ....., GAVE ID#","DRAINAGE, EROSION, FLOODING OR HOLES",NON-ROADSIDE VEGETATION IN A DITCH
608695,In Progress,,,CALLER STATED THAT ON THE DEAD END OF PARA STREET @ VALLEY STREET THERE IS A LOT OF TRASH THAT HAVE BEEN OUT THERE FOR SIX MONTHS.  GAVE CALLER ID NUMBER.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-04-27T13:21:00Z,,CALLER STATED THAT ON THE DEAD END OF PARA STREET @ VALLEY STREET THERE IS A LOT OF TRASH THAT HAVE BEEN OUT THERE FOR SIX MONTHS.  GAVE CALLER ID NUMBER.,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY"
608468,In Progress,,,CALLER STATES THAT CONSTRUCTION HAS CAUSED WATER TO BACK UP ON TO HIS PROPERTY FOR THE PAST MONTH. PLEASE INSPECT.,ZACHARY,MAINTENANCE,DRAINAGE MAINTENANCE,2020-04-27T08:16:00Z,,CALLER STATES THAT CONSTRUCTION HAS CAUSED WATER TO BACK UP ON TO HIS PROPERTY FOR THE PAST MONTH. PLEASE INSPECT.,"DRAINAGE, EROSION, FLOODING OR HOLES",STANDING WATER
608682,In Progress,,,TRASH AND DEBRIS IN FRONT OF VACANT HOUSE LOCATED ACROSS FROM 10654 ZERLEE ST,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-04-27T12:59:00Z,,TRASH AND DEBRIS IN FRONT OF VACANT HOUSE LOCATED ACROSS FROM 10654 ZERLEE ST,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
608886,In Progress,,,1810 JADE TRASH ON CURVE,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-04-27T17:44:00Z,,1810 JADE TRASH ON CURVE,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
608463,In Progress,,,HOUSE IS FALLING DOWN AND IS INFESTED WITH BEES. IT NEEDS TO BE TORN DOWN.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-04-27T08:05:00Z,,HOUSE IS FALLING DOWN AND IS INFESTED WITH BEES. IT NEEDS TO BE TORN DOWN.,BLIGHTED PROPERTIES,PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN
608571,In Progress,,,DRAIN AT THE CORNER OF BEECH AND BEECHWOOD NEEDS TO BE CLEANED OUT,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-04-27T10:44:00Z,,DRAIN AT THE CORNER OF BEECH AND BEECHWOOD NEEDS TO BE CLEANED OUT,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
608887,In Progress,,,TO THE RIGHT OF 1655 JADE TRASH ON CURVE,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-04-27T17:45:00Z,,TO THE RIGHT OF 1655 JADE TRASH ON CURVE,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
608696,In Progress,,,SINK HOLE IN THE DITCH LOCATED ON THE RIGHT OF PROPERTY FACING THE HOME,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-04-27T13:23:00Z,,SINK HOLE IN THE DITCH LOCATED ON THE RIGHT OF PROPERTY FACING THE HOME,"DRAINAGE, EROSION, FLOODING OR HOLES",CAVE-IN/SINK HOLE (DRAINAGE RELATED)
608674,In Progress,,,#554 V. THOMPSON WENT ON 4/15/20 @ 14:25 PM FOR STORM DRAIN CAVITY IN THE FRONT.  PLACED 14 FT. FENCE AND 4 STAKES.  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-04-27T12:50:00Z,,#554 V. THOMPSON WENT ON 4/15/20 @ 14:25 PM FOR STORM DRAIN CAVITY IN THE FRONT.  PLACED 14 FT. FENCE AND 4 STAKES.  AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP.,"DRAINAGE, EROSION, FLOODING OR HOLES",CAVE-IN/SINK HOLE (DRAINAGE RELATED)
623658,In Progress,,,CALLER STATED THAT THE VACANT LOT ON THE RIGHT SIDE OF (5758 ST. GERARD AVENUE) GRASS NEEDS TO BE CUT.  GAVE CALLER ID NUMBER.,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-16T13:35:00Z,,CALLER STATED THAT THE VACANT LOT ON THE RIGHT SIDE OF (5758 ST. GERARD AVENUE) GRASS NEEDS TO BE CUT.  GAVE CALLER ID NUMBER.,BLIGHTED PROPERTIES,TALL GRASS
623662,In Progress,,,GRASS NEED TO BE CUT VACANT LOT GAVE SERVICE #,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-16T13:38:00Z,,GRASS NEED TO BE CUT VACANT LOT GAVE SERVICE #,BLIGHTED PROPERTIES,TALL GRASS
623668,In Progress,,,VACANT HOUSE GRASS NEED TO BE CUT GAVE SERVICE #,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-16T13:42:00Z,,VACANT HOUSE GRASS NEED TO BE CUT GAVE SERVICE #,BLIGHTED PROPERTIES,TALL GRASS
623677,In Progress,,,DITCHES HAVE WEEDS AND GRASS NEED TO BE REMOVED FROM THE DITCHES 17521 17531 17511 NINE OAKS DR STANDING WATER GAVE SERVICE #,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-06-16T13:57:00Z,,DITCHES HAVE WEEDS AND GRASS NEED TO BE REMOVED FROM THE DITCHES 17521 17531 17511 NINE OAKS DR STANDING WATER GAVE SERVICE #,"DRAINAGE, EROSION, FLOODING OR HOLES",REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY
623669,In Progress,,,VACANT LOT NEED TO BE CUT ACROSS THE STREET FROM 8542 HICKCOCK DR GAVE SERVICE #,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-06-16T13:43:00Z,,VACANT LOT NEED TO BE CUT ACROSS THE STREET FROM 8542 HICKCOCK DR GAVE SERVICE #,BLIGHTED PROPERTIES,TALL GRASS
608442,In Progress,,,CALLER STATED THAT THE DRAIN IN THE FRONT OF (3315 LINDEN STREET) NEEDS TO BE CLEANED OUT.  GAVE CALLER ID NUMBER.,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,2020-04-27T07:19:00Z,,CALLER STATED THAT THE DRAIN IN THE FRONT OF (3315 LINDEN STREET) NEEDS TO BE CLEANED OUT.  GAVE CALLER ID NUMBER.,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE
